Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-06-19,15.14,15.9,14.95,15.38
2018-06-20,15.38,16.68,14.83,16.56
2018-06-21,16.57,17.85,16.43,17.67
2018-06-22,17.67,17.82,14.16,14.48
2018-06-23,14.48,15.09,14.19,14.97
2018-06-24,14.97,15.32,13.16,14.9
2018-06-25,14.9,16.02,14.66,15.96
2018-06-26,15.98,16,15.26,15.67
2018-06-27,15.67,15.69,14.17,15.33
2018-06-28,15.33,15.69,14.51,14.56
2018-06-29,14.56,14.92,14.22,14.8
2018-06-30,14.8,16.87,14.79,15.88
2018-07-01,15.88,16.43,15.55,15.96
2018-07-02,15.96,17.07,15.63,16.85
2018-07-03,16.85,17.16,16.2,16.48
2018-07-04,16.48,17.49,15.76,17.21
2018-07-05,17.21,17.39,16.71,16.87
2018-07-06,16.87,18.48,16.84,18.23
2018-07-07,18.23,18.42,17.46,17.68
2018-07-08,17.68,18.97,17.66,18.59
2018-07-09,18.59,18.72,18.14,18.44
2018-07-10,18.45,18.69,16.48,16.68
2018-07-11,16.68,16.75,15.71,16.29
2018-07-12,16.29,16.46,15.71,15.95
2018-07-13,15.95,16.77,15.75,16.21
2018-07-14,16.21,16.71,16.09,16.5
2018-07-15,16.5,16.92,16.26,16.85
2018-07-16,16.83,17.54,16.56,17.29
2018-07-17,17.29,18.23,16.93,17.99
2018-07-18,18.01,18.38,17.12,17.39
2018-07-19,17.39,17.8,17.1,17.29
2018-07-20,17.29,17.63,15.74,15.91
2018-07-21,15.91,16.55,15.85,16.36
2018-07-22,16.36,16.54,16.09,16.09
2018-07-23,16.09,16.76,15.87,16.05
2018-07-24,16.05,16.84,15.75,16.53
2018-07-25,16.53,16.85,16.13,16.64
2018-07-26,16.64,17.44,16.3,16.57
2018-07-27,16.59,17.2,16.35,17.16
2018-07-28,17.16,17.17,16.62,16.87
2018-07-29,16.87,17.06,16.68,16.83
2018-07-30,16.83,17.38,16.61,17.09
2018-07-31,17.09,17.2,16.47,16.58
2018-08-01,16.58,16.58,14.97,15
2018-08-02,15,15.56,14.56,14.93
2018-08-03,14.92,16.94,14.13,16.82
2018-08-04,16.79,16.91,15.85,16.21
2018-08-05,16.21,17.8,16.21,17.79
2018-08-06,17.79,18.57,17.16,18.04
2018-08-07,18.04,20.98,16.83,17.33
2018-08-08,17.35,17.36,14.55,14.63
2018-08-09,14.63,15.4,14.34,15.21
2018-08-10,15.19,15.35,14.12,14.21
2018-08-11,14.21,14.34,12.4,13.51
2018-08-12,13.51,13.85,12.84,13.32
2018-08-13,13.32,13.44,12.42,12.43
2018-08-14,12.43,12.43,10.14,10.96
2018-08-15,10.96,12.63,10.89,12.5
2018-08-16,12.5,14.91,11.9,14.11
2018-08-17,14.11,14.5,13.05,14.24
2018-08-18,14.26,14.57,12.62,13.2
2018-08-19,13.2,13.76,12.85,13.36
2018-08-20,13.36,13.53,12.78,12.94
2018-08-21,12.94,12.95,12.18,12.6
2018-08-22,12.55,13.46,11.92,12.18
2018-08-23,12.18,12.49,11.91,12.42
